id,no_serie,no_factura,fecha,nombre_del_cliente,NIT,direccion,cantidad,productos,precio,descuento,envio,total
1,65399,58734289,2022-06-28,Nichole Stewart,5115444599,59617 Hodges Greens Jennifershire  PA 86844,2:6,Champú:Biografía,104.26:613.3,368.0046742788992,13.2,3533.5153257211005
2,58659,50146655,2020-04-09,John Schmidt,8125438915,08440 Clark Place Apt. 550 West Matthew  NE 60725,5:3,Silla:Tablet,227.02:397.13,23.99897282856126,19.71,2322.2010271714385
3,58448,56570049,2022-02-17,Mike Garrett,9879289004,09579 Peters Overpass Shaneport  MD 79201,1:6,Tablet:Mesa de comedor,397.13:444.93,117.86545033421754,7.73,2956.5745496657823
4,88881,44867852,2021-12-08,Nathan Soto,6787479978,112 Alicia Springs Apt. 362 Ewingchester  NJ 69511,2:4,Mesa de comedor:Muñeca,444.93:47.38,75.91736573300423,18.94,1022.402634266996
5,84653,93892880,2023-12-28,Ashley Payne,8269851016,916 Danny Forges Alexandraton  SC 91932,5:8,Vestido:Camiseta,530.67:543.61,163.82882756217623,22.09,6860.4911724378235
6,96488,60766525,2022-10-01,Colton Alexander,1617821123,0214 Schultz Keys Lake Dustinton  KY 30347,10:5,Poesía:Camiseta,640.7:543.61,561.9280804407911,16.92,8580.041919559208
7,58802,77679889,2020-12-16,Eric Stevens,8072074202,32827 Wood Harbor West Jennifer  IN 68975,8:4,Laptop:Pelota,364.26:167.61,119.07497155958687,5.08,3470.525028440413
8,55310,90465399,2023-06-18,Thomas Edwards,7299744833,26708 Daniel Pine Jillside  ND 41405,2:8,Smartwatch:Perfume,208.54:215.05,85.5439869145104,6.76,2058.69601308549
9,38235,88444946,2020-01-14,Maurice Henry,2198178088,4061 Robert Fields Suite 235 East Rebeccaborough  WV 90287,6:9,Biografía:Juego de mesa,613.3:111.05,391.876683066395,11.2,4298.5733169336045
10,38366,13901482,2021-11-17,Joseph Alexander,9560463510,4366 Nicole Highway Suite 793 West Carlshire  DC 43652,9:5,Guía de viaje:Guía de viaje,369.8:369.8,87.73144724613657,23.53,5112.998552753864
11,80311,60350315,2020-09-16,Jessica Allen MD,2255609842,3129 Phillips Pass North Amanda  VA 42527,3:5,Sofá:Guantes de boxeo,313.68:19.46,47.69791288929001,22.77,1013.4120871107099
12,56651,17346482,2022-06-18,Crystal Mueller,9259818467,506 Robert Glen Debrabury  WI 30464,7:10,Poesía:Maquillaje,640.7:497.45,396.8683049508913,7.78,9070.311695049111
13,40937,35473280,2022-01-09,Allison Chambers,5773922621,15513 Peters Dam Nicholasside  VI 14130,3:7,Regadera:Pan,805.3:921.1,761.5929337977645,22.55,8124.557066202234
14,98657,46043624,2022-12-26,Adam Smith,1129475868,463 Suzanne Avenue Suite 057 Kevinport  MN 48180,4:2,Smartwatch:Sierra,208.54:102.97,54.55801785735274,23.11,1008.6519821426472
15,74019,82341927,2021-08-03,Gina Watson,7412369419,579 Willis Court Apt. 051 Matthewburgh  NE 13909,10:3,Esmalte de uñas:Mesa de comedor,189.38:444.93,36.492850973313864,10.83,3202.927149026686
16,57601,18603690,2020-08-09,James Medina,8847323267,13935 Kristen Center Apt. 805 New Casey  WA 31772,1:4,Esmalte de uñas:Balón de fútbol,189.38:498.7,197.48126124523344,7.03,1993.7287387547665
17,95006,91060621,2021-11-08,Jo Oneal,1475406235,Unit 8937 Box 5564 DPO AA 17540,7:6,Semillas:Escritorio,529.28:912.26,807.1951817662845,21.33,8392.654818233716
18,36737,30351938,2020-12-05,Franklin Carlson,8166800219,044 King Valleys Apt. 047 Bartonhaven  KS 04564,6:5,Novela:Guantes de boxeo,951.49:19.46,381.95577487590003,24.63,5448.914225124101
19,33368,83938400,2023-10-15,Lindsay Barker,7856016401,630 Ethan Ville Apt. 041 Nicolestad  RI 52215,7:4,Patines:Rompecabezas,237.45:222.97,229.03627024606246,12.86,2337.8537297539374
20,65967,57143432,2022-09-19,John Ross,4574575419,719 Caleb Rapid North Rebeccahaven  OR 45544,6:8,Maceta:Perfume,889.4:215.05,625.976113077798,5.01,6435.833886922202
21,66164,74883809,2019-09-09,Kimberly Larson,7683874224,72006 Middleton Manors East Kaitlyn  VT 42602,6:10,Smartphone:Queso,940.43:721.62,1167.1844240106425,18.0,11709.595575989357
22,99262,64814478,2023-04-04,Julia Kent,1711211548,5278 Joy Spurs Apt. 116 East Janicefurt  TN 72761,10:10,Poesía:Martillo,640.7:315.09,44.14795664967782,15.57,9529.322043350321
23,17641,69772753,2024-01-19,Jerry Hudson,7704774947,89381 Derrick Roads Suite 267 Port Kennethview  IA 82716,10:8,Diccionario:Fertilizante,956.02:231.17,703.9075499323577,24.14,10729.792450067644
24,91333,38410018,2021-07-21,Annette Hart,5133347481,1667 Pam Ports New Michael  MS 96734,2:7,Diccionario:Muñeca,956.02:47.38,29.559035497811163,20.51,2234.650964502189
25,17150,45584160,2023-10-06,Susan Crawford,6271060423,6354 Taylor Divide South Tammietown  DC 84554,2:4,Escritorio:Estantería,912.26:636.43,158.59626648004135,11.2,4222.843733519958
